ダウンロードした時刻: 2022/05/23 10:57:56,,,,,,,,,,,,
,,,,,,,,,,,,↓この列は手動
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,,
年月日時,気温(℃),気温(℃),気温(℃),降水量(mm),降水量(mm),降水量(mm),降水量(mm),天気,天気,天気,,
,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,実績(万kW)
2022/1/1 0:00:00,0.1,8,1,0,1,8,1,,0,1,,3266
2022/1/1 1:00:00,0.7,8,1,0,1,8,1,,0,1,,3062
2022/1/1 2:00:00,0.5,8,1,0,1,8,1,,0,1,,2929
2022/1/1 3:00:00,0.5,8,1,0,1,8,1,1,8,1,,2828
2022/1/1 4:00:00,0.3,8,1,0,1,8,1,,0,1,,2786
2022/1/1 5:00:00,-0.2,8,1,0,1,8,1,,0,1,,2828
2022/1/1 6:00:00,-0.2,8,1,0,1,8,1,1,8,1,,2985
2022/1/1 7:00:00,-0.5,8,1,0,1,8,1,,0,1,,3214
2022/1/1 8:00:00,1.5,8,1,0,1,8,1,,0,1,,3293
2022/1/1 9:00:00,3.8,8,1,0,1,8,1,1,8,1,,3176
2022/1/1 10:00:00,5,8,1,0,1,8,1,,0,1,,3032
2022/1/1 11:00:00,6.1,8,1,0,1,8,1,,0,1,,2906
2022/1/1 12:00:00,6.8,8,1,0,1,8,1,1,8,1,,2810
2022/1/1 13:00:00,7.3,8,1,0,1,8,1,,0,1,,2739
2022/1/1 14:00:00,7.1,8,1,0,1,8,1,,0,1,,2743
2022/1/1 15:00:00,6.3,8,1,0,1,8,1,1,8,1,,2873
2022/1/1 16:00:00,5.6,8,1,0,1,8,1,,0,1,,3140
2022/1/1 17:00:00,4.9,8,1,0,1,8,1,,0,1,,3472
2022/1/1 18:00:00,4.4,8,1,0,1,8,1,1,8,1,,3561
2022/1/1 19:00:00,3.6,8,1,0,1,8,1,,0,1,,3584
2022/1/1 20:00:00,3,8,1,0,1,8,1,,0,1,,3589
2022/1/1 21:00:00,3.5,8,1,0,1,8,1,1,8,1,,3538
2022/1/1 22:00:00,3.8,8,1,0,1,8,1,,0,1,,3372
2022/1/1 23:00:00,3.9,8,1,0,1,8,1,,0,1,,3226
2022/1/2 00:00:00,3,8,1,0,1,8,1,,0,1,,2974
2022/1/2 1:00:00,2.6,8,1,0,1,8,1,,0,1,,2833
2022/1/2 2:00:00,1.8,8,1,0,1,8,1,,0,1,,2765
2022/1/2 3:00:00,2.2,8,1,0,1,8,1,1,8,1,,2717
2022/1/2 4:00:00,1.3,8,1,0,1,8,1,,0,1,,2695
2022/1/2 5:00:00,0.9,8,1,0,1,8,1,,0,1,,2751
2022/1/2 6:00:00,0.9,8,1,0,1,8,1,4,8,1,,2937
2022/1/2 7:00:00,0.9,8,1,0,1,8,1,,0,1,,3218
2022/1/2 8:00:00,1.4,8,1,0,1,8,1,,0,1,,3459
2022/1/2 9:00:00,2.2,8,1,0,1,8,1,4,8,1,,3460
2022/1/2 10:00:00,3.2,8,1,0,1,8,1,,0,1,,3263
2022/1/2 11:00:00,4.9,8,1,0,1,8,1,,0,1,,3070
2022/1/2 12:00:00,6.8,8,1,0,1,8,1,2,8,1,,2952
2022/1/2 13:00:00,7.3,8,1,0,1,8,1,,0,1,,2853
2022/1/2 14:00:00,6.8,8,1,0,1,8,1,,0,1,,2819
2022/1/2 15:00:00,6.7,8,1,0,1,8,1,1,8,1,,2916
2022/1/2 16:00:00,6.8,8,1,0,1,8,1,,0,1,,3136
2022/1/2 17:00:00,5.7,8,1,0,1,8,1,,0,1,,3454
2022/1/2 18:00:00,4.9,8,1,0,1,8,1,1,8,1,,3563
2022/1/2 19:00:00,3.7,8,1,0,1,8,1,,0,1,,3590
2022/1/2 20:00:00,4.6,8,1,0,1,8,1,,0,1,,3594
2022/1/2 21:00:00,4.4,8,1,0,1,8,1,1,8,1,,3528
2022/1/2 22:00:00,2,8,1,0,1,8,1,,0,1,,3374
2022/1/2 23:00:00,1.6,8,1,0,1,8,1,,0,1,,3226
2022/1/3 00:00:00,1.4,8,1,0,1,8,1,,0,1,,2968
2022/1/3 1:00:00,2.6,8,1,0,1,8,1,,0,1,,2799
2022/1/3 2:00:00,2.6,8,1,0,1,8,1,,0,1,,2714
2022/1/3 3:00:00,2.1,8,1,0,1,8,1,1,8,1,,2659
2022/1/3 4:00:00,3.4,8,1,0,1,8,1,,0,1,,2638
2022/1/3 5:00:00,3.9,8,1,0,1,8,1,,0,1,,2702
2022/1/3 6:00:00,2.9,8,1,0,1,8,1,1,8,1,,2907
2022/1/3 7:00:00,3.2,8,1,0,1,8,1,,0,1,,3177
2022/1/3 8:00:00,4.2,8,1,0,1,8,1,,0,1,,3307
2022/1/3 9:00:00,5.7,8,1,0,1,8,1,1,8,1,,3257
2022/1/3 10:00:00,6.5,8,1,0,1,8,1,,0,1,,3132
2022/1/3 11:00:00,9,8,1,0,1,8,1,,0,1,,3007
2022/1/3 12:00:00,9.7,8,1,0,1,8,1,1,8,1,,2923
2022/1/3 13:00:00,10.1,8,1,0,1,8,1,,0,1,,2842
2022/1/3 14:00:00,9.6,8,1,0,1,8,1,,0,1,,2834
2022/1/3 15:00:00,8.8,8,1,0,1,8,1,1,8,1,,2926
2022/1/3 16:00:00,8.2,8,1,0,1,8,1,,0,1,,3169
2022/1/3 17:00:00,6.3,8,1,0,1,8,1,,0,1,,3499
2022/1/3 18:00:00,5.5,8,1,0,1,8,1,2,8,1,,3601
2022/1/3 19:00:00,5.9,8,1,0,1,8,1,,0,1,,3609
2022/1/3 20:00:00,5.2,8,1,0,1,8,1,,0,1,,3586
2022/1/3 21:00:00,5.1,8,1,0,1,8,1,1,8,1,,3480
2022/1/3 22:00:00,4.5,8,1,0,1,8,1,,0,1,,3276
2022/1/3 23:00:00,4.5,8,1,0,1,8,1,,0,1,,3102
2022/1/4 00:00:00,3.6,8,1,0,1,8,1,,0,1,,2872
2022/1/4 1:00:00,2.8,8,1,0,1,8,1,,0,1,,2739
2022/1/4 2:00:00,2.5,8,1,0,1,8,1,,0,1,,2695
2022/1/4 3:00:00,2.2,8,1,0,1,8,1,1,8,1,,2670
2022/1/4 4:00:00,1.4,8,1,0,1,8,1,,0,1,,2697
2022/1/4 5:00:00,1,8,1,0,1,8,1,,0,1,,2863
2022/1/4 6:00:00,0.8,8,1,0,1,8,1,1,8,1,,3227
2022/1/4 7:00:00,1,8,1,0,1,8,1,,0,1,,3567
2022/1/4 8:00:00,3.1,8,1,0,1,8,1,,0,1,,3744
2022/1/4 9:00:00,7.1,8,1,0,1,8,1,1,8,1,,3693
2022/1/4 10:00:00,8.6,8,1,0,1,8,1,,0,1,,3518
2022/1/4 11:00:00,10.2,8,1,0,1,8,1,,0,1,,3423
2022/1/4 12:00:00,11.2,8,1,0,1,8,1,1,8,1,,3315
2022/1/4 13:00:00,12.1,8,1,0,1,8,1,,0,1,,3308
2022/1/4 14:00:00,10.1,8,1,0,1,8,1,,0,1,,3335
2022/1/4 15:00:00,8.6,8,1,0,1,8,1,1,8,1,,3464
2022/1/4 16:00:00,7.4,8,1,0,1,8,1,,0,1,,3724
2022/1/4 17:00:00,6.5,8,1,0,1,8,1,,0,1,,4020
2022/1/4 18:00:00,5.6,8,1,0,1,8,1,1,8,1,,4086
2022/1/4 19:00:00,4.8,8,1,0,1,8,1,,0,1,,4071
2022/1/4 20:00:00,4.3,8,1,0,1,8,1,,0,1,,4004
2022/1/4 21:00:00,3.3,8,1,0,1,8,1,1,8,1,,3849
2022/1/4 22:00:00,3.3,8,1,0,1,8,1,,0,1,,3589
2022/1/4 23:00:00,3.2,8,1,0,1,8,1,,0,1,,3353
2022/1/5 00:00:00,2.9,8,1,0,1,8,1,,0,1,,3073
2022/1/5 1:00:00,3.1,8,1,0,1,8,1,,0,1,,2926
2022/1/5 2:00:00,3.1,8,1,0,1,8,1,,0,1,,2869
2022/1/5 3:00:00,2.9,8,1,0,1,8,1,1,8,1,,2835
2022/1/5 4:00:00,3.5,8,1,0,1,8,1,,0,1,,2866
2022/1/5 5:00:00,2.3,8,1,0,1,8,1,,0,1,,3074
2022/1/5 6:00:00,1.6,8,1,0,1,8,1,1,8,1,,3542
2022/1/5 7:00:00,1.2,8,1,0,1,8,1,,0,1,,4013
2022/1/5 8:00:00,2.4,8,1,0,1,8,1,,0,1,,4325
2022/1/5 9:00:00,4.1,8,1,0,1,8,1,1,8,1,,4382
2022/1/5 10:00:00,5.8,8,1,0,1,8,1,,0,1,,4261
2022/1/5 11:00:00,6.9,8,1,0,1,8,1,,0,1,,4146
2022/1/5 12:00:00,7.7,8,1,0,1,8,1,1,8,1,,3995
2022/1/5 13:00:00,8,8,1,0,1,8,1,,0,1,,3984
2022/1/5 14:00:00,7.9,8,1,0,1,8,1,,0,1,,3993
2022/1/5 15:00:00,6.7,8,1,0,1,8,1,1,8,1,,4102
2022/1/5 16:00:00,5.8,8,1,0,1,8,1,,0,1,,4360
2022/1/5 17:00:00,5.3,8,1,0,1,8,1,,0,1,,4588
2022/1/5 18:00:00,4.4,8,1,0,1,8,1,2,8,1,,4598
2022/1/5 19:00:00,4.2,8,1,0,1,8,1,,0,1,,4539
2022/1/5 20:00:00,3.2,8,1,0,1,8,1,,0,1,,4435
2022/1/5 21:00:00,3,8,1,0,1,8,1,4,8,1,,4231
2022/1/5 22:00:00,2.3,8,1,0,1,8,1,,0,1,,3949
2022/1/5 23:00:00,1.2,8,1,0,1,8,1,,0,1,,3677
2022/1/6 00:00:00,1.1,8,1,0,1,8,1,,0,1,,3369
2022/1/6 1:00:00,1.7,8,1,0,1,8,1,,0,1,,3194
2022/1/6 2:00:00,1.5,8,1,0,1,8,1,,0,1,,3107
2022/1/6 3:00:00,1.4,8,1,0,1,8,1,4,8,1,,3056
2022/1/6 4:00:00,1.5,8,1,0,1,8,1,,0,1,,3094
2022/1/6 5:00:00,1.5,8,1,0,1,8,1,,0,1,,3324
2022/1/6 6:00:00,1.2,8,1,0,1,8,1,4,8,1,,3828
2022/1/6 7:00:00,1.6,8,1,0,1,8,1,,0,1,,4342
2022/1/6 8:00:00,1.9,8,1,0,1,8,1,,0,1,,4892
2022/1/6 9:00:00,2.1,8,1,0,1,8,1,4,8,1,,5162
2022/1/6 10:00:00,2.3,8,1,0,1,8,1,,0,1,,5164
2022/1/6 11:00:00,2.4,8,1,0,0,8,1,,0,1,,5179
2022/1/6 12:00:00,1.5,8,1,0,0,8,1,12,8,1,,5107
2022/1/6 13:00:00,0,8,1,0,0,8,1,,0,1,,5263
2022/1/6 14:00:00,-0.3,8,1,1,0,8,1,,0,1,,5302
2022/1/6 15:00:00,-0.3,8,1,1.5,0,8,1,12,8,1,,5273
2022/1/6 16:00:00,-0.2,8,1,1.5,0,8,1,,0,1,,5374
2022/1/6 17:00:00,-0.2,8,1,1.5,0,8,1,,0,1,,5360
2022/1/6 18:00:00,0.2,8,1,1,0,8,1,12,8,1,,5265
2022/1/6 19:00:00,0.2,8,1,0,0,8,1,,0,1,,5110
2022/1/6 20:00:00,0.2,8,1,0,0,8,1,,0,1,,4934
2022/1/6 21:00:00,-0.7,8,1,0,1,8,1,1,8,1,,4690
2022/1/6 22:00:00,-0.4,8,1,0,1,8,1,,0,1,,4356
2022/1/6 23:00:00,-1.3,8,1,0,1,8,1,,0,1,,4045
2022/1/7 00:00:00,-0.8,8,1,0,1,8,1,,0,1,,3689
2022/1/7 1:00:00,-1.9,8,1,0,1,8,1,,0,1,,3495
2022/1/7 2:00:00,-2.2,8,1,0,1,8,1,,0,1,,3415
2022/1/7 3:00:00,-1.8,8,1,0,1,8,1,1,8,1,,3385
2022/1/7 4:00:00,-2.9,8,1,0,1,8,1,,0,1,,3445
2022/1/7 5:00:00,-3.1,8,1,0,1,8,1,,0,1,,3711
2022/1/7 6:00:00,-3.1,8,1,0,1,8,1,1,8,1,,4215
2022/1/7 7:00:00,-1.6,8,1,0,1,8,1,,0,1,,4645
2022/1/7 8:00:00,0.3,8,1,0,1,8,1,,0,1,,5059
2022/1/7 9:00:00,2.1,8,1,0,1,8,1,1,8,1,,5173
2022/1/7 10:00:00,3.6,8,1,0,1,8,1,,0,1,,5018
2022/1/7 11:00:00,5.1,8,1,0,1,8,1,,0,1,,4835
2022/1/7 12:00:00,6.8,8,1,0,1,8,1,1,8,1,,4526
2022/1/7 13:00:00,7.8,8,1,0,1,8,1,,0,1,,4459
2022/1/7 14:00:00,7.9,8,1,0,1,8,1,,0,1,,4393
2022/1/7 15:00:00,7,8,1,0,1,8,1,1,8,1,,4440
2022/1/7 16:00:00,6.3,8,1,0,1,8,1,,0,1,,4662
2022/1/7 17:00:00,5.5,8,1,0,1,8,1,,0,1,,4846
2022/1/7 18:00:00,4.3,8,1,0,1,8,1,1,8,1,,4822
2022/1/7 19:00:00,4.4,8,1,0,1,8,1,,0,1,,4718
2022/1/7 20:00:00,4.3,8,1,0,1,8,1,,0,1,,4615
2022/1/7 21:00:00,3.3,8,1,0,1,8,1,1,8,1,,4398
2022/1/7 22:00:00,3.9,8,1,0,1,8,1,,0,1,,4155
2022/1/7 23:00:00,3.3,8,1,0,1,8,1,,0,1,,3910
2022/1/8 00:00:00,3,8,1,0,1,8,1,,0,1,,3593
2022/1/8 1:00:00,2.7,8,1,0,1,8,1,,0,1,,3396
2022/1/8 2:00:00,2.7,8,1,0,1,8,1,,0,1,,3279
2022/1/8 3:00:00,2.7,8,1,0,1,8,1,2,8,1,,3207
2022/1/8 4:00:00,2.2,8,1,0,1,8,1,,0,1,,3196
2022/1/8 5:00:00,1.5,8,1,0,1,8,1,,0,1,,3308
2022/1/8 6:00:00,1,8,1,0,1,8,1,2,8,1,,3603
2022/1/8 7:00:00,1.1,8,1,0,1,8,1,,0,1,,3956
2022/1/8 8:00:00,2,8,1,0,1,8,1,,0,1,,4190
2022/1/8 9:00:00,4.1,8,1,0,1,8,1,1,8,1,,4177
2022/1/8 10:00:00,5.6,8,1,0,1,8,1,,0,1,,4001
2022/1/8 11:00:00,7.5,8,1,0,1,8,1,,0,1,,3833
2022/1/8 12:00:00,7.8,8,1,0,1,8,1,1,8,1,,3685
2022/1/8 13:00:00,8.7,8,1,0,1,8,1,,0,1,,3643
2022/1/8 14:00:00,8.7,8,1,0,1,8,1,,0,1,,3594
2022/1/8 15:00:00,8.6,8,1,0,1,8,1,1,8,1,,3647
2022/1/8 16:00:00,7.7,8,1,0,1,8,1,,0,1,,3856
2022/1/8 17:00:00,5.1,8,1,0,1,8,1,,0,1,,4143
2022/1/8 18:00:00,4.1,8,1,0,1,8,1,1,8,1,,4209
2022/1/8 19:00:00,4.1,8,1,0,1,8,1,,0,1,,4189
2022/1/8 20:00:00,3.9,8,1,0,1,8,1,,0,1,,4116
2022/1/8 21:00:00,3.7,8,1,0,1,8,1,1,8,1,,3964
2022/1/8 22:00:00,3.8,8,1,0,1,8,1,,0,1,,3746
2022/1/8 23:00:00,4.7,8,1,0,1,8,1,,0,1,,3552
2022/1/9 00:00:00,3.2,8,1,0,1,8,1,,0,1,,3305
2022/1/9 1:00:00,2,8,1,0,1,8,1,,0,1,,3148
2022/1/9 2:00:00,1.1,8,1,0,1,8,1,,0,1,,3065
2022/1/9 3:00:00,0.4,8,1,0,1,8,1,1,8,1,,3017
2022/1/9 4:00:00,0,8,1,0,1,8,1,,0,1,,3016
2022/1/9 5:00:00,0.5,8,1,0,1,8,1,,0,1,,3102
2022/1/9 6:00:00,-0.2,8,1,0,1,8,1,1,8,1,,3325
2022/1/9 7:00:00,0.3,8,1,0,1,8,1,,0,1,,3593
2022/1/9 8:00:00,2.7,8,1,0,1,8,1,,0,1,,3741
2022/1/9 9:00:00,5.8,8,1,0,1,8,1,1,8,1,,3687
2022/1/9 10:00:00,7.4,8,1,0,1,8,1,,0,1,,3530
2022/1/9 11:00:00,9.9,8,1,0,1,8,1,,0,1,,3376
2022/1/9 12:00:00,11.5,8,1,0,1,8,1,1,8,1,,3262
2022/1/9 13:00:00,12.6,8,1,0,1,8,1,,0,1,,3181
2022/1/9 14:00:00,13.1,8,1,0,1,8,1,,0,1,,3195
2022/1/9 15:00:00,12.6,8,1,0,1,8,1,3,8,1,,3235
2022/1/9 16:00:00,9.9,8,1,0,1,8,1,,0,1,,3438
2022/1/9 17:00:00,8.7,8,1,0,1,8,1,,0,1,,3771
2022/1/9 18:00:00,7.3,8,1,0,1,8,1,3,8,1,,3863
2022/1/9 19:00:00,7.2,8,1,0,1,8,1,,0,1,,3838
2022/1/9 20:00:00,8.4,8,1,0,1,8,1,,0,1,,3738
2022/1/9 21:00:00,8.1,8,1,0,1,8,1,3,8,1,,3607
2022/1/9 22:00:00,8,8,1,0,1,8,1,,0,1,,3377
2022/1/9 23:00:00,6.8,8,1,0,1,8,1,,0,1,,3174
2022/1/10 00:00:00,6.9,8,1,0,1,8,1,,0,1,,2929
2022/1/10 1:00:00,7,8,1,0,1,8,1,,0,1,,2806
2022/1/10 2:00:00,7.5,8,1,0,1,8,1,,0,1,,2758
2022/1/10 3:00:00,7.2,8,1,0,1,8,1,4,8,1,,2740
2022/1/10 4:00:00,7.2,8,1,0,1,8,1,,0,1,,2758
2022/1/10 5:00:00,6.9,8,1,0,1,8,1,,0,1,,2847
2022/1/10 6:00:00,6.6,8,1,0,1,8,1,4,8,1,,3080
2022/1/10 7:00:00,7.4,8,1,0,1,8,1,,0,1,,3424
2022/1/10 8:00:00,7.4,8,1,0,1,8,1,,0,1,,3799
2022/1/10 9:00:00,7.8,8,1,0,0,8,1,4,8,1,,3926
2022/1/10 10:00:00,8,8,1,0,1,8,1,,0,1,,3883
2022/1/10 11:00:00,8.2,8,1,0,1,8,1,,0,1,,3809
2022/1/10 12:00:00,8.4,8,1,0,1,8,1,4,8,1,,3721
2022/1/10 13:00:00,8.7,8,1,0,1,8,1,,0,1,,3671
2022/1/10 14:00:00,9.3,8,1,0,1,8,1,,0,1,,3629
2022/1/10 15:00:00,9.2,8,1,0,1,8,1,4,8,1,,3683
2022/1/10 16:00:00,8.9,8,1,0,1,8,1,,0,1,,3868
2022/1/10 17:00:00,7.9,8,1,0,1,8,1,,0,1,,4130
2022/1/10 18:00:00,7.4,8,1,0,1,8,1,4,8,1,,4163
2022/1/10 19:00:00,7.6,8,1,0,1,8,1,,0,1,,4074
2022/1/10 20:00:00,7.8,8,1,0,1,8,1,,0,1,,3965
2022/1/10 21:00:00,7.6,8,1,0,1,8,1,4,8,1,,3773
2022/1/10 22:00:00,7.1,8,1,0,1,8,1,,0,1,,3502
2022/1/10 23:00:00,6.7,8,1,0,1,8,1,,0,1,,3243
2022/1/11 00:00:00,6.9,8,1,0,1,8,1,,0,1,,2977
2022/1/11 1:00:00,7.2,8,1,0,1,8,1,,0,1,,2850
2022/1/11 2:00:00,7.1,8,1,0,1,8,1,,0,1,,2813
2022/1/11 3:00:00,6.7,8,1,0,1,8,1,4,8,1,,2809
2022/1/11 4:00:00,6.8,8,1,0,1,8,1,,0,1,,2868
2022/1/11 5:00:00,6.4,8,1,0,1,8,1,,0,1,,3093
2022/1/11 6:00:00,5.1,8,1,0,0,8,1,10,8,1,,3555
2022/1/11 7:00:00,4.6,8,1,1.5,0,8,1,,0,1,,4039
2022/1/11 8:00:00,4.3,8,1,2,0,8,1,,0,1,,4541
2022/1/11 9:00:00,4.6,8,1,1,0,8,1,10,8,1,,4850
2022/1/11 10:00:00,5.1,8,1,0.5,0,8,1,,0,1,,4780
2022/1/11 11:00:00,5.3,8,1,0,0,8,1,,0,1,,4739
2022/1/11 12:00:00,5.6,8,1,0,0,8,1,10,8,1,,4635
2022/1/11 13:00:00,5.5,8,1,1.5,0,8,1,,0,1,,4767
2022/1/11 14:00:00,5.6,8,1,5,0,8,1,,0,1,,4716
2022/1/11 15:00:00,5.8,8,1,2.5,0,8,1,10,8,1,,4664
2022/1/11 16:00:00,5.2,8,1,0,0,8,1,,0,1,,4764
2022/1/11 17:00:00,5.4,8,1,0.5,0,8,1,,0,1,,4746
2022/1/11 18:00:00,5.4,8,1,0.5,0,8,1,10,8,1,,4641
2022/1/11 19:00:00,5.5,8,1,0,0,8,1,,0,1,,4472
2022/1/11 20:00:00,5.7,8,1,0,1,8,1,,0,1,,4298
2022/1/11 21:00:00,6,8,1,0,1,8,1,4,8,1,,4052
2022/1/11 22:00:00,6.4,8,1,0.5,0,8,1,,0,1,,3781
2022/1/11 23:00:00,5.6,8,1,0.5,0,8,1,,0,1,,3511
2022/1/12 00:00:00,4.8,8,1,0,1,8,1,,0,1,,3212
2022/1/12 1:00:00,5.5,8,1,0,1,8,1,,0,1,,3064
2022/1/12 2:00:00,5,8,1,0,1,8,1,,0,1,,3018
2022/1/12 3:00:00,5.1,8,1,0,1,8,1,1,8,1,,3011
2022/1/12 4:00:00,5,8,1,0,1,8,1,,0,1,,3076
2022/1/12 5:00:00,3.2,8,1,0,1,8,1,,0,1,,3309
2022/1/12 6:00:00,3.4,8,1,0,1,8,1,1,8,1,,3803
2022/1/12 7:00:00,2.9,8,1,0,1,8,1,,0,1,,4214
2022/1/12 8:00:00,3.1,8,1,0,1,8,1,,0,1,,4476
2022/1/12 9:00:00,4.9,8,1,0,1,8,1,1,8,1,,4540
2022/1/12 10:00:00,6.3,8,1,0,1,8,1,,0,1,,4408
2022/1/12 11:00:00,7.4,8,1,0,1,8,1,,0,1,,4323
2022/1/12 12:00:00,7.9,8,1,0,1,8,1,1,8,1,,4143
2022/1/12 13:00:00,8,8,1,0,1,8,1,,0,1,,4192
2022/1/12 14:00:00,7.7,8,1,0,1,8,1,,0,1,,4200
2022/1/12 15:00:00,6.8,8,1,0,1,8,1,1,8,1,,4293
2022/1/12 16:00:00,6.3,8,1,0,1,8,1,,0,1,,4529
2022/1/12 17:00:00,5.4,8,1,0,1,8,1,,0,1,,4746
2022/1/12 18:00:00,4.9,8,1,0,1,8,1,1,8,1,,4762
2022/1/12 19:00:00,4,8,1,0,1,8,1,,0,1,,4665
2022/1/12 20:00:00,4.1,8,1,0,1,8,1,,0,1,,4539
2022/1/12 21:00:00,3.4,8,1,0,1,8,1,1,8,1,,4317
2022/1/12 22:00:00,4,8,1,0,1,8,1,,0,1,,4037
2022/1/12 23:00:00,3.3,8,1,0,1,8,1,,0,1,,3762
2022/1/13 00:00:00,3.3,8,1,0,1,8,1,,0,1,,3446
2022/1/13 1:00:00,2.9,8,1,0,1,8,1,,0,1,,3281
2022/1/13 2:00:00,3.4,8,1,0,1,8,1,,0,1,,3211
2022/1/13 3:00:00,3.2,8,1,0,1,8,1,2,8,1,,3165
2022/1/13 4:00:00,3.6,8,1,0,1,8,1,,0,1,,3189
2022/1/13 5:00:00,3.6,8,1,0,1,8,1,,0,1,,3410
2022/1/13 6:00:00,3.9,8,1,0,1,8,1,4,8,1,,3923
2022/1/13 7:00:00,3.7,8,1,0,1,8,1,,0,1,,4404
2022/1/13 8:00:00,3,8,1,0,1,8,1,,0,1,,4744
2022/1/13 9:00:00,4.3,8,1,0,1,8,1,2,8,1,,4713
2022/1/13 10:00:00,7.2,8,1,0,1,8,1,,0,1,,4529
2022/1/13 11:00:00,8.1,8,1,0,1,8,1,,0,1,,4395
2022/1/13 12:00:00,8.5,8,1,0,1,8,1,1,8,1,,4227
2022/1/13 13:00:00,9.9,8,1,0,1,8,1,,0,1,,4261
2022/1/13 14:00:00,10.1,8,1,0,1,8,1,,0,1,,4247
2022/1/13 15:00:00,11,8,1,0,1,8,1,2,8,1,,4304
2022/1/13 16:00:00,9.4,8,1,0,1,8,1,,0,1,,4489
2022/1/13 17:00:00,8.2,8,1,0,1,8,1,,0,1,,4679
2022/1/13 18:00:00,7,8,1,0,1,8,1,2,8,1,,4692
2022/1/13 19:00:00,5.5,8,1,0,1,8,1,,0,1,,4607
